Department or Agency,Platfom,Account,Account text,URL
311,Twitter,Chicago311,Chicago311,https://twitter.com/Chicago311
Animal Care and Control,Facebook,ChicagoAnimalCareandControl,ChicagoAnimalCareandControl,https://www.facebook.com/ChicagoAnimalCareandControl
Animal Care and Control,Instagram,chicagoanimalcare,chicagoanimalcare,http://instagram.com/chicagoanimalcare
Animal Care and Control,Twitter,ChicagoACC,ChicagoACC,https://twitter.com/ChicagoACC
Business Affairs and Consumer Protection (BACP),Facebook,ChicagoBACP,ChicagoBACP,https://www.facebook.com/ChicagoBACP/
Business Affairs and Consumer Protection (BACP),Instagram,ChicagoBACP,ChicagoBACP,https://www.instagram.com/chicagobacp
Business Affairs and Consumer Protection (BACP),Pinterest,ChicagoBACP,ChicagoBACP,https://www.pinterest.com/chicagobacp/
Business Affairs and Consumer Protection (BACP),Soundcloud,ChicagoBACP,ChicagoBACP,https://soundcloud.com/chicagobacp
Business Affairs and Consumer Protection (BACP),Twitter,ChicagoBACP,ChicagoBACP,https://twitter.com/ChicagoBACP
Chicago Fire Department,Twitter ,CFDMedia,CFDMedia,https://twitter.com/cfdmedia
Chicago First Lady,Instagram,chifirstlady,chifirstlady,www.instagram.com/chifirstlady
Chicago First Lady,Twitter,chifirstlady,chifirstlady,www.twitter.com/chifirstlady
Chicago Housing Authority,Facebook,ChicagoHousingAuthority,ChicagoHousingAuthority,https://www.facebook.com/ChicagoHousingAuthority/
Chicago Housing Authority,Instagram,chicagohousingauthority,chicagohousingauthority,https://www.instagram.com/chicagohousingauthority
Chicago Housing Authority,LinkedIn,Chicago Housing Authority,Chicago Housing Authority,https://www.linkedin.com/company/chicago-housing-authority/
Chicago Housing Authority,Twitter,theCHAtweets,theCHAtweets,www.twitter.com/theCHAtweets
Chicago Housing Authority,YouTube,ChiHousingAuthority,ChiHousingAuthority,https://www.youtube.com/user/ChiHousingAuthority
Chicago Park District,Facebook,ChicagoParkDistrict,ChicagoParkDistrict,https://www.facebook.com/ChicagoParkDistrict/
Chicago Park District,Instagram,chicagoparks,chicagoparks,https://www.instagram.com/chicagoparks
Chicago Park District,Twitter,ChicagoParks,ChicagoParks,www.twitter.com/ChicagoParks
Chicago Park District,YouTube,Chicago Park District,Chicago Park District,https://www.youtube.com/user/chicagoparkdistrict
Chicago Parks District,Snapchat,,chicagoparks,
Chicago Police Department,Facebook,ChicagoPoliceDepartment,ChicagoPoliceDepartment,https://www.facebook.com/ChicagoPoliceDepartment/
Chicago Police Department,Instagram,chicagopolicedepartment,chicagopolicedepartment,http://www.instagram.com/chicagopolicedepartment
Chicago Police Department,Twitter,Chicago_Police,Chicago_Police,www.twitter.com/Chicago_Police
Chicago Public Library,Facebook,ChicagoPublicLibrary,ChicagoPublicLibrary,https://www.facebook.com/Chicago-Public-Library-35447572453/
Chicago Public Library,Instagram,chicagopubliclibrary,chicagopubliclibrary,https://www.instagram.com/chicagopubliclibrary
Chicago Public Library,Twitter,ChiPubLib,ChiPubLib,www.twitter.com/chipublib
Chicago Public Schools,Facebook,Chicago Public Schools,Chicago Public Schools,https://www.facebook.com/chicagopublicschools
Chicago Public Schools,Instagram,ChiPubSchools,ChiPubSchools,https://www.instagram.com/ChiPubSchools
Chicago Public Schools,LinkedIn,Chicago Public Schools,Chicago Public Schools,https://www.linkedin.com/company/chicago-public-schools/
Chicago Public Schools,Twitter,ChiPubSchools,ChiPubSchools,www.twitter.com/ChiPubSchools
Chicago Sister Cities International,Facebook,ChicagoSisterCities,ChicagoSisterCities,https://www.facebook.com/chicagosistercities
